Title,Price,Depreciation/Yr,Registration Date,Engine Capacity,Mileage/Km,Vehicle Type
Nissan Sylphy 1.6A Premium Signature Series,"$74,800","$14,250 /yr",28-Aug-2018,"1,598 cc",-,Sedan
Honda HR-V 1.5A DX,"$53,800","$16,290 /yr",13-Oct-2016,"1,496 cc",-,SUV
Rolls-Royce Ghost (COE till 03/2033),"$568,000","$61,610 /yr",12-Mar-2013,"6,592 cc","26,500 km",Luxury
Nissan Teana 2.5A,-,N.A,16-Dec-2016,"2,488 cc","80,458 km",Luxury
Mercedes-Benz GLC-Class GLC250 4MATIC,-,N.A,06-Dec-2016,"1,991 cc","163,112 km",SUV
Mercedes-Benz Vito 109 CDI,-,N.A,14-Sep-2018,"1,598 cc","155,592 km",Van
Porsche Cayman 2.7A Tip (COE till 08/2026),"$67,800","$25,230 /yr",07-Oct-2006,"2,687 cc","110,000 km",Sports
Honda Shuttle Hybrid 1.5A,"$88,000","$17,330 /yr",07-Sep-2018,"1,496 cc","79,300 km",Stationwagon
UD Trucks GKB5E (New 5-yr COE),"$78,800","$15,740 /yr",22-Apr-2015,"10,837 cc",-,Truck
Mercedes-Benz C-Class C180 (COE till 11/2027),"$63,800","$16,210 /yr",30-Jan-2013,"1,595 cc","110,000 km",Luxury
Volkswagen Sharan 2.0A TSI Panoramic Roof,"$69,800","$17,200 /yr",15-Nov-2016,"1,984 cc","128,000 km",MPV
Porsche Cayman S 3.4A Tip (COE till 03/2026),"$82,000","$36,190 /yr",31-Mar-2006,"3,387 cc","56,000 km",Sports
Suzuki Swift Sport 1.6M (COE till 08/2027),"$49,800","$13,660 /yr",17-Aug-2007,"1,586 cc",-,Hatchback
Mercedes-Benz GLA-Class GLA200 AMG Line,"$165,800","$19,400 /yr",29-Jun-2021,"1,595 cc","30,100 km",SUV
Volkswagen Polo 1.4A (COE till 05/2025),"$18,888","$13,330 /yr",25-May-2010,"1,390 cc",-,Hatchback
Honda Vezel 1.5A X,"$114,800","$15,150 /yr",30-Mar-2021,"1,496 cc",-,SUV
Subaru Legacy 2.5A GT (COE till 04/2029),"$79,800","$14,910 /yr",27-May-2009,"2,457 cc","205,000 km",Luxury
Nissan GTR 3.8A (COE till 05/2028),"$210,800","$47,500 /yr",09-Jan-2009,"3,799 cc",-,Sports
Nissan Qashqai 1.2A DIG-T,"$51,800","$13,760 /yr",31-Mar-2017,"1,197 cc","97,125 km",SUV
Toyota Corolla Altis 1.6A Classic,"$26,800","$16,840 /yr",11-Mar-2015,"1,598 cc","218,000 km",Sedan
Toyota Vios 1.5A E,"$79,800","$15,230 /yr",11-Oct-2018,"1,496 cc","92,300 km",Sedan
Mazda CX-9 2.5A Turbo,"$130,800","$23,620 /yr",31-Aug-2018,"2,488 cc","31,000 km",SUV
MINI One 1.2A 5DR,"$79,000","$19,050 /yr",29-Sep-2017,"1,198 cc","40,500 km",Hatchback
Nissan Cabstar 3.0M (COE till 09/2028),"$46,800",N.A,26-Sep-2008,"2,953 cc",-,Truck
Honda Civic 1.5A VTEC Turbo Sunroof,"$98,800","$17,270 /yr",24-Oct-2018,"1,498 cc","76,000 km",Sedan
Mazda 5 2.0A SP Sunroof,"$47,500","$15,180 /yr",17-Jun-2016,"1,998 cc","160,000 km",MPV
Lexus ES250 Sunroof,"$57,800","$21,650 /yr",16-Sep-2015,"2,494 cc","125,000 km",Luxury
Volvo S60 T5,"$24,800","$16,680 /yr",31-Oct-2014,"1,969 cc","133,000 km",Luxury
Toyota Harrier 2.0A Premium Panoramic Roof,"$60,800","$27,900 /yr",24-Aug-2015,"1,986 cc",-,SUV
Toyota Harrier Turbo 2.0A M,"$172,800","$22,950 /yr",28-Sep-2020,"1,998 cc","22,500 km",SUV
Honda Vezel 1.5A G Honda Sensing,"$123,800","$14,000 /yr",22-Jun-2022,"1,496 cc","10,445 km",SUV
Toyota Dyna 150 3.0M (COE till 10/2028),"$48,800","$10,130 /yr",17-Oct-2008,"2,982 cc",-,Truck
Toyota Harrier 2.0A Premium,"$93,000","$25,380 /yr",13-Jan-2017,"1,986 cc","107,200 km",SUV
Toyota Vios 1.5A E,"$86,888","$13,540 /yr",19-Nov-2019,"1,496 cc","59,000 km",Sedan
Mercedes-Benz 200E (COE till 02/2029),"$68,888","$13,280 /yr",02-Sep-1991,"1,996 cc",-,Luxury
Nissan NV350 Urvan 2.0M,"$82,800","$8,960 /yr",20-Mar-2023,"1,998 cc","7,700 km",Van
Mitsubishi Fuso Super Great FV51J Tipper (COE till 12/2030),"$115,800","$16,480 /yr",13-Jan-2011,"12,882 cc",-,Truck
Honda Odyssey 2.4A EXV-S Sunroof,"$83,500","$20,190 /yr",01-Feb-2017,"2,356 cc","39,375 km",MPV
Nissan NV200 1.5M,"$13,800","$14,810 /yr",29-Nov-2014,"1,461 cc",-,Van
Mercedes-Benz C-Class C180 Avantgarde,"$76,000","$22,760 /yr",07-Jul-2016,"1,595 cc","131,500 km",Luxury
Mercedes-Benz CLA-Class CLA180 AMG Line,"$89,000","$21,500 /yr",29-May-2017,"1,595 cc","103,000 km",Luxury
Volkswagen Golf 1.6A (COE till 04/2029),"$56,800","$10,610 /yr",24-Aug-1999,"1,595 cc",-,Hatchback
Honda Vezel 1.5A X,"$56,800","$15,460 /yr",27-Mar-2017,"1,496 cc","82,000 km",SUV
Subaru XV 2.0i-S EyeSight,"$82,800","$15,290 /yr",05-Nov-2018,"1,995 cc","120,000 km",SUV
Volkswagen Scirocco 1.4A TSI (COE till 12/2029),"$76,800","$12,750 /yr",07-Jan-2010,"1,390 cc",-,Sports
Toyota Corolla Axio 1.5A G,"$45,800","$15,020 /yr",21-Sep-2016,"1,496 cc","136,000 km",Sedan
Hyundai Accent 1.4A,"$74,800","$13,960 /yr",11-Jan-2019,"1,368 cc",-,Sedan
Volkswagen Scirocco 2.0A TSI (COE till 10/2029),"$72,800","$12,590 /yr",05-Oct-2009,"1,984 cc","196,000 km",Sports
Mercedes-Benz C-Class C180 Mild Hybrid Avantgarde,"$222,800","$22,980 /yr",31-Aug-2022,"1,496 cc","36,000 km",Luxury
Isuzu FVR34,"$79,800","$29,270 /yr",15-Sep-2016,"7,790 cc",-,Truck
Honda Civic 2.0A Si (COE till 01/2031),"$118,800","$16,710 /yr",12-Apr-2011,"1,998 cc","158,727 km",Sedan
Toyota Corolla Altis 1.6A Classic,"$51,300","$15,830 /yr",09-Sep-2016,"1,598 cc","90,300 km",Sedan
Porsche 911 Carrera S Coupe 3.8A PDK (COE till 02/2033),"$351,800","$38,280 /yr",01-Mar-2013,"3,800 cc","184,000 km",Sports
BMW 5 Series 520i Luxury,"$58,703","$25,360 /yr",28-May-2015,"1,997 cc","56,860 km",Luxury
Toyota Prius Hybrid 1.8A S,"$75,800","$18,670 /yr",23-Nov-2017,"1,798 cc","62,891 km",Hatchback
Mercedes-Benz B-Class B180 Style,"$65,800","$19,810 /yr",23-Sep-2016,"1,595 cc","80,000 km",Hatchback
Mercedes-Benz GLB-Class GLB200 AMG Line Premium 7-Seater,"$185,800","$24,330 /yr",17-Sep-2020,"1,332 cc","37,000 km",SUV
Mercedes-Benz GLB-Class GLB200 AMG Line 7-Seater,"$180,800","$23,270 /yr",27-Nov-2020,"1,332 cc","51,000 km",SUV
BMW 3 Series 335i Convertible (COE till 01/2029),"$94,800","$18,550 /yr",20-Feb-2009,"2,979 cc",-,Sports
Porsche Panamera 3.6A PDK (COE till 10/2031),"$172,888","$22,000 /yr",22-Dec-2011,"3,605 cc",-,Sports
Volvo V40 T2 R-Design Sunroof,"$68,000","$20,140 /yr",20-Oct-2016,"1,498 cc","108,500 km",Hatchback
Mercedes-Benz E-Class E300 Coupe Mild Hybrid AMG Line Premium Plus Night Edition,"$328,800","$29,750 /yr",09-Feb-2023,"1,991 cc","9,026 km",Sports
Honda Vezel Hybrid 1.5A e:HEV X Honda Sensing,"$153,888","$17,210 /yr",13-Jun-2022,"1,496 cc","7,900 km",SUV
Mercedes-Benz EQA Electric EQA250+ AMG Line Premium,"$282,988","$27,470 /yr",11-Aug-2023,-,28 km,SUV
BMW 1 Series 116d,"$55,888","$17,710 /yr",03-Nov-2016,"1,496 cc","94,500 km",Hatchback
Porsche Panamera S 4.8A PDK (COE till 03/2029),"$110,800","$21,020 /yr",02-Jan-2010,"4,806 cc",-,Sports
Maserati GranTurismo Cambiocorsa (COE till 04/2030),"$139,800","$22,220 /yr",08-Apr-2010,"4,691 cc","127,000 km",Sports
Toyota Corolla Axio 1.5A X (COE till 01/2029),"$51,800","$10,270 /yr",08-Jan-2009,"1,496 cc",-,Sedan
Honda Civic 1.5A VTEC Turbo Sunroof,"$63,800","$18,060 /yr",07-Nov-2016,"1,498 cc","116,890 km",Sedan
Mazda CX-30 2.0A Elegance,"$125,800","$16,560 /yr",30-Nov-2020,"1,998 cc","24,000 km",SUV
MINI Cooper Countryman 1.6A,"$35,800","$25,120 /yr",29-Oct-2014,"1,598 cc",-,Hatchback
Kia Cerato 1.6A EX,"$92,800","$13,800 /yr",02-Mar-2020,"1,591 cc","85,473 km",Sedan
Aston Martin DBS Coupe 6.0A (COE till 06/2031),"$310,000","$41,220 /yr",03-Jan-2012,"5,935 cc","88,000 km",Sports
Nissan Serena e-POWER Hybrid 1.2A Highway Star Premium,"$188,800","$21,120 /yr",11-Jun-2022,"1,198 cc","40,000 km",MPV
Volvo XC60 T5 Momentum,"$190,888","$23,420 /yr",12-Mar-2021,"1,969 cc","28,000 km",SUV
Austin 850M (COE till 03/2029),"$89,800","$17,040 /yr",23-May-1968,848 cc,"92,000 km",Others
Tesla Model 3 Electric Performance AWD,"$190,888","$21,200 /yr",08-Sep-2021,-,"33,000 km",Luxury
Mazda RX-8 1.3A (COE till 08/2028),"$68,800","$14,830 /yr",13-Aug-2008,"1,308 cc","62,000 km",Sports
Audi S4 Avant 3.0A TFSI Quattro (COE till 06/2030),"$115,800","$17,770 /yr",30-Jun-2010,"2,995 cc",-,Stationwagon
Mercedes-Benz GLA-Class GLA180 Urban Edition,"$131,888","$18,620 /yr",16-Mar-2020,"1,595 cc","44,000 km",SUV
Ferrari SF90 Spider Plug-in Hybrid 4.0A,"$2,680,000","$258,450 /yr",11-Mar-2022,"3,990 cc",850 km,Sports
Honda Fit 1.3A G (COE till 04/2024),"$7,800",N.A,22-May-2009,"1,339 cc",-,Hatchback
Audi TTS Coupe 2.0A TFSI Quattro S-tronic (COE till 09/2028),"$122,800","$25,800 /yr",26-Sep-2008,"1,984 cc",-,Sports
Mitsubishi Attrage 1.2A Sports,"$74,800","$12,560 /yr",25-Sep-2019,"1,193 cc","60,599 km",Sedan
Isuzu NQR75 (COE till 01/2031),"$74,800","$10,520 /yr",25-Mar-2011,"5,193 cc","130,600 km",Truck
Mazda 3 1.5A Deluxe Sunroof,"$63,800","$13,020 /yr",30-Apr-2018,"1,496 cc","82,000 km",Sedan
Toyota Wish 1.8A,"$52,800","$16,080 /yr",23-Aug-2016,"1,798 cc","121,000 km",MPV
Honda S2000 Type S 2.2M (COE till 02/2029),"$158,800","$30,620 /yr",28-Apr-2009,"2,156 cc","100,000 km",Sports
Bentley Bentayga 4.0A V8,"$688,500","$100,590 /yr",03-Apr-2019,"3,996 cc","26,780 km",SUV
MG HS 1.5A Turbo Panoramic Roof,"$125,998","$16,570 /yr",31-Dec-2020,"1,490 cc","36,000 km",SUV
Chevrolet Cruze 1.6A,"$39,800","$13,050 /yr",29-Jun-2016,"1,598 cc","98,000 km",Sedan
Jaguar F-PACE 3.0A V6 Supercharged R-Sport,"$152,777","$28,010 /yr",24-Nov-2017,"2,995 cc","71,000 km",SUV
Suzuki Every Turbo,"$80,000","$8,630 /yr",31-Mar-2023,658 cc,-,Van
Audi S5 Sportback 3.0A TFSI Quattro,"$189,800","$31,280 /yr",01-Aug-2018,"2,995 cc","75,142 km",Sports
Mercedes-Benz AMG GT S,"$638,000","$81,930 /yr",13-Feb-2020,"3,982 cc","17,000 km",Sports
Honda Civic 1.6A VTi,"$83,800","$16,240 /yr",06-Jul-2018,"1,597 cc","86,000 km",Sedan
Mercedes-Benz CLA-Class CLA35 AMG 4MATIC Premium Plus,"$290,800","$33,210 /yr",17-Sep-2021,"1,991 cc","13,000 km",Sports
Mercedes-Benz CLS-Class CLS53 Mild Hybrid AMG 4MATIC+ Plus,"$470,800","$46,350 /yr",27-Apr-2022,"2,999 cc","8,000 km",Luxury
Mercedes-Benz A-Class A180,"$54,900","$25,880 /yr",25-Sep-2015,"1,595 cc",-,Hatchback
BMW M3 Coupe (COE till 03/2029),"$143,800","$27,280 /yr",21-Jul-2009,"3,999 cc","175,000 km",Sports
Mercedes-Benz CLA-Class CLA180 (New 10-yr COE),"$135,800","$13,570 /yr",16-Apr-2014,"1,595 cc","135,000 km",Luxury
Mazda 3 HB 1.5A Deluxe Sunroof,"$69,800","$12,700 /yr",27-Sep-2018,"1,496 cc",-,Hatchback
Honda N-Van Turbo Style Fun Honda Sensing,"$87,800","$8,790 /yr",19-Dec-2023,658 cc,-,Van
BMW 5 Series 528i,"$95,800","$24,210 /yr",30-Sep-2016,"1,997 cc","70,000 km",Luxury
Honda Civic 1.5A VTEC Turbo Sunroof,"$69,888","$19,500 /yr",05-Dec-2016,"1,498 cc",-,Sedan
Toyota Sienta Hybrid 1.5A X,"$61,888","$18,230 /yr",28-Mar-2017,"1,496 cc",-,MPV
Audi S3 Sedan 2.0A TFSI Quattro,"$135,800","$26,900 /yr",26-Dec-2017,"1,984 cc","128,000 km",Sports
Chevrolet Optra Magnum Estate 1.6A (COE till 10/2027),"$35,800","$9,470 /yr",05-Oct-2007,"1,598 cc","142,000 km",Stationwagon
Toyota Camry 2.0A,"$119,800","$17,870 /yr",12-Sep-2019,"1,998 cc","44,213 km",Luxury
Mercedes-Benz C-Class C180K (COE till 01/2032),"$98,800","$12,180 /yr",13-Feb-2012,"1,597 cc","145,216 km",Luxury
Mercedes-Benz GLE-Class GLE450 Mild Hybrid 4MATIC,"$296,800","$35,850 /yr",15-Jul-2020,"2,999 cc","31,000 km",SUV
Nissan Note 1.2A,"$59,000","$12,060 /yr",30-Aug-2018,"1,198 cc","76,606 km",Hatchback
Honda Stream 1.8A RSZ (COE till 03/2025),"$17,800","$14,870 /yr",06-Mar-2010,"1,799 cc",-,MPV
Toyota Hiace 3.0M,"$81,800","$11,810 /yr",27-Nov-2020,"2,982 cc",-,Van
Honda Civic 1.6A VTi,"$96,800","$15,430 /yr",07-Aug-2019,"1,597 cc","49,000 km",Sedan
Chevrolet Cruze 1.4A Turbo,"$33,888","$16,530 /yr",15-Jul-2015,"1,362 cc","64,315 km",Sedan
BMW X1 sDrive18i,"$136,800","$19,930 /yr",30-Sep-2019,"1,499 cc","75,000 km",SUV
Nissan Qashqai 1.2A DIG-T,"$45,800","$18,620 /yr",29-Jan-2016,"1,197 cc","70,333 km",SUV
Subaru Outback 2.5i-S Sunroof,"$54,777","$17,420 /yr",13-Jun-2016,"2,498 cc","80,367 km",SUV
BMW 5 Series 520i Mild Hybrid Executive,"$226,000","$24,090 /yr",28-Jan-2022,"1,998 cc","36,876 km",Luxury
Mazda 3 1.5A Deluxe Sunroof (OPC),"$43,000","$11,840 /yr",30-Dec-2016,"1,496 cc","92,579 km",Sedan
Toyota Corolla Altis 1.6A (COE till 09/2030),"$75,900","$11,210 /yr",15-Dec-2010,"1,598 cc","156,569 km",Sedan
Mitsubishi Lancer EX 1.5A GLS (COE till 05/2028),"$49,700","$11,210 /yr",30-May-2008,"1,499 cc","138,000 km",Sedan
BMW 6 Series 640i Gran Coupe M-Sport Sunroof (COE till 02/2033),"$173,998","$18,940 /yr",28-Feb-2013,"2,979 cc","104,000 km",Luxury
Toyota Townace 1.5A GL,"$84,888","$9,200 /yr",16-Mar-2023,"1,496 cc","11,000 km",Van
Mitsubishi Fuso Canter FEB21,"$125,800","$12,890 /yr",25-Sep-2023,"2,998 cc",-,Truck
Toyota Dyna 150 3.0M,"$47,800","$16,970 /yr",18-Oct-2016,"2,982 cc",-,Truck
Mercedes-Benz CLA-Class CLA180 Urban,"$109,000","$19,290 /yr",16-Oct-2018,"1,595 cc","68,033 km",Luxury
Toyota Corolla Altis 1.6A,"$40,800","$14,810 /yr",27-Jan-2016,"1,598 cc","53,000 km",Sedan
Mitsubishi Evolution 9 GT (COE till 07/2026),"$109,888","$42,220 /yr",15-Aug-2006,"1,997 cc",-,Sports
Mitsubishi ASX 2.0A,"$53,800","$15,930 /yr",07-Oct-2016,"1,998 cc","66,700 km",SUV
Hyundai Venue 1.6A GLS,"$98,800","$12,640 /yr",10-Mar-2021,"1,598 cc","23,000 km",SUV
BMW 2 Series 216i Gran Tourer,"$153,800","$17,220 /yr",13-Sep-2021,"1,499 cc","39,000 km",MPV
Honda Shuttle Hybrid 1.5A,"$83,500","$15,370 /yr",16-Jan-2019,"1,496 cc","136,302 km",Stationwagon
Volkswagen Touran 1.4A TSI Trendline,"$78,000","$17,370 /yr",30-Nov-2017,"1,395 cc","93,287 km",MPV
Toyota Voxy 2.0A ZS,"$75,800","$21,950 /yr",19-Aug-2016,"1,986 cc",-,MPV
BMW 2 Series 216i Gran Tourer,"$100,000","$17,650 /yr",30-Jul-2018,"1,499 cc","108,270 km",MPV
BMW 1 Series 118i 5DR M-Sport Highline,"$140,000","$17,830 /yr",28-Sep-2020,"1,499 cc","48,764 km",Hatchback
Chevrolet Orlando 1.4A Turbo,"$53,000","$14,100 /yr",27-Feb-2017,"1,362 cc","55,955 km",MPV
Subaru Forester 2.0i-L Sunroof,"$31,800","$15,540 /yr",31-Jul-2015,"1,995 cc","130,000 km",SUV
BMW 5 Series 523i (COE till 10/2030),"$88,800","$12,950 /yr",13-Dec-2010,"2,497 cc","153,000 km",Luxury
Skoda Octavia 1.4A TSI Ambition Plus,"$103,500","$15,210 /yr",27-Feb-2020,"1,395 cc","49,429 km",Sedan
Mercedes-Benz CLA-Class CLA45 AMG 4MATIC (New 10-yr COE),"$205,088","$20,490 /yr",14-Apr-2014,"1,991 cc","80,000 km",Sports
Nissan Qashqai 1.2A DIG-T,"$76,800","$15,360 /yr",27-Apr-2018,"1,197 cc",-,SUV
Mazda Biante 2.0A,"$28,888","$17,910 /yr",30-Jan-2015,"1,998 cc",-,MPV
Volkswagen Golf 1.4A TSI Highline Sunroof,"$97,777","$14,660 /yr",25-Sep-2019,"1,395 cc",-,Hatchback
Audi A3 Sedan 1.0A TFSI S-tronic,"$73,805","$18,010 /yr",17-Aug-2017,999 cc,"85,000 km",Luxury
Volvo V40 T2,"$86,000","$18,960 /yr",28-Dec-2017,"1,498 cc","138,273 km",Hatchback
Toyota Alphard 2.4A G Moonroof (COE till 04/2029),"$86,800","$16,210 /yr",14-May-2009,"2,362 cc","138,000 km",MPV
Subaru Impreza 4D 1.6i-S,"$60,800","$13,920 /yr",15-Nov-2017,"1,600 cc","51,000 km",Sedan
Toyota Wish 1.8A,"$78,800","$16,280 /yr",16-Mar-2018,"1,798 cc","81,000 km",MPV
Peugeot 3008 1.2A PureTech EAT8 Active Premium,"$125,000","$15,750 /yr",28-Jan-2021,"1,199 cc","50,000 km",SUV
Maserati GranTurismo Sport 4.7A,"$268,800","$42,560 /yr",30-Jan-2018,"4,691 cc","43,000 km",Sports
Audi A1 Sportback 1.0A TFSI S-tronic,"$37,888","$14,760 /yr",28-Apr-2016,999 cc,"100,000 km",Hatchback
BMW 3 Series 318i,"$108,800","$17,490 /yr",31-Jan-2019,"1,499 cc","130,000 km",Luxury
Volkswagen T-Cross 1.0A TSI R-Line,"$126,800","$14,670 /yr",28-Oct-2021,999 cc,"79,275 km",SUV
Volkswagen Passat 1.8A TFSI,"$109,688","$15,770 /yr",29-Nov-2019,"1,798 cc","47,414 km",Luxury
BMW 2 Series 220i Coupe Sunroof,"$29,800",N.A,16-May-2014,"1,997 cc","116,000 km",Sports
Hyundai Accent 1.4A,"$58,999","$12,200 /yr",23-Jun-2018,"1,368 cc","78,789 km",Sedan
Toyota Hiace 2.8A DX,"$82,800","$13,740 /yr",02-Jan-2020,"2,754 cc",-,Van
Honda Civic 1.6A VTi,"$57,999","$16,210 /yr",07-Dec-2016,"1,597 cc","100,897 km",Sedan
Skoda Rapid Spaceback 1.4A TSI Ambition,"$81,888","$13,500 /yr",24-May-2019,"1,395 cc","70,000 km",Hatchback
Toyota Prius Hybrid 1.8A S,"$98,800","$17,930 /yr",24-Dec-2018,"1,797 cc","66,000 km",Hatchback
Ferrari 458 Italia (COE till 04/2033),"$588,000","$62,880 /yr",29-Apr-2013,"4,497 cc","46,000 km",Sports
Toyota Corolla Altis 1.6A Standard,"$86,888","$13,960 /yr",12-Jul-2019,"1,598 cc","80,000 km",Sedan
Kia Sorento Diesel 2.2A CRDi Sunroof,"$80,500","$17,980 /yr",20-Jul-2017,"2,199 cc","108,000 km",SUV
Mercedes-Benz C-Class C250 Avantgarde,"$97,800","$24,090 /yr",05-Jan-2017,"1,991 cc","136,944 km",Luxury
Honda Fit 1.3A G F-Package,"$77,800","$13,150 /yr",29-Aug-2019,"1,317 cc","44,000 km",Hatchback
Honda Fit 1.3A G Skyroof (COE till 03/2029),"$60,800","$11,530 /yr",13-May-2009,"1,339 cc","120,000 km",Hatchback
Volkswagen Golf GTI 5DR (COE till 01/2029),"$70,800","$13,930 /yr",22-Jan-2009,"1,984 cc","210,000 km",Sports
Kia Carens 2.0A GDI,"$37,800","$14,970 /yr",12-Oct-2015,"1,999 cc","122,600 km",MPV
Kia Sportage 2.0A,"$58,800","$15,930 /yr",18-Nov-2016,"1,999 cc",-,SUV
Mercedes-Benz GLA-Class GLA180 Urban Edition,"$115,800","$17,370 /yr",23-Sep-2019,"1,595 cc",-,Hatchback
Mercedes-Benz S-Class S63L AMG,"$488,888","$70,160 /yr",20-Dec-2018,"3,982 cc","27,800 km",Sports
Skoda Karoq 1.5A TSI Style,"$96,800","$15,910 /yr",22-Feb-2019,"1,498 cc","120,000 km",SUV
Toyota Corolla Altis 1.6A Elegance,"$56,999","$15,800 /yr",15-Dec-2016,"1,598 cc","116,888 km",Sedan
Honda Vezel 1.5A G Honda Sensing,"$122,888","$14,370 /yr",01-Mar-2022,"1,496 cc","29,030 km",SUV
Subaru Forester 2.0A XT Sunroof,"$60,800","$17,560 /yr",03-Nov-2016,"1,998 cc","115,500 km",SUV
BMW 1 Series 116d,"$93,000","$16,630 /yr",15-Aug-2018,"1,496 cc","53,000 km",Hatchback
BMW 3 Series 316i (New 5-yr COE),"$73,800","$14,740 /yr",30-Dec-2013,"1,598 cc","136,888 km",Luxury
Toyota Alphard 2.5A S C-Package,"$281,888","$30,250 /yr",21-Mar-2022,"2,493 cc","45,000 km",MPV
Bentley Continental Flying Spur 6.0A (COE till 04/2028),"$131,800","$30,390 /yr",25-Apr-2008,"5,998 cc","115,000 km",Luxury
BMW 3 Series 320i M-Sport (New 10-yr COE),"$162,888","$16,280 /yr",27-Feb-2014,"1,997 cc","139,500 km",Luxury
Honda Jazz 1.5A,"$55,800","$14,280 /yr",07-Jun-2017,"1,498 cc","60,000 km",Hatchback
Hyundai i30 Wagon 1.4A T-GDi DCT Turbo,"$69,800","$14,550 /yr",25-Jun-2018,"1,353 cc","97,500 km",Stationwagon
Honda Shuttle 1.5A G Honda Sensing,"$103,800","$14,460 /yr",04-Sep-2020,"1,496 cc","29,000 km",Stationwagon
BMW 3 Series 318i Sunroof (COE till 03/2030),"$77,900","$12,430 /yr",31-Mar-2010,"1,995 cc","118,836 km",Luxury
Land Rover Range Rover Velar 2.0A Si4 R-Dynamic,"$141,000","$26,330 /yr",12-Oct-2017,"1,997 cc","64,000 km",SUV
BMW 5 Series 523i (COE till 02/2031),"$92,800","$12,910 /yr",01-Mar-2011,"2,497 cc",-,Luxury
Porsche 911 Carrera 4S 3.8A PDK (COE till 06/2033),"$438,888","$46,090 /yr",02-Sep-2013,"3,800 cc","65,988 km",Sports
Nissan X-Trail 2.0A Premium 7-Seater Sunroof,"$37,800","$19,240 /yr",27-Apr-2015,"1,997 cc","91,339 km",SUV
Toyota Vios 1.5A E (COE till 01/2027),"$36,800","$11,930 /yr",24-Jan-2007,"1,497 cc","205,000 km",Sedan
Toyota Hiace 3.0M,"$60,800","$11,600 /yr",21-Mar-2019,"2,982 cc",-,Van
Hyundai Avante 1.6A S (COE till 04/2024),"$5,800",N.A,24-Apr-2009,"1,591 cc",-,Sedan
BMW X3 sDrive20i,"$140,800","$24,410 /yr",20-Sep-2018,"1,998 cc","51,000 km",SUV
Opel Astra Sports Tourer Diesel 1.6A Turbo,"$79,800","$11,460 /yr",19-Dec-2019,"1,598 cc",-,Stationwagon
Mercedes-Benz CLA-Class CLA180 Shooting Brake Urban,"$103,800","$19,340 /yr",22-May-2018,"1,595 cc","32,000 km",Stationwagon
Nissan NV200 Vanette 1.6A DX,"$72,800","$9,500 /yr",23-Aug-2021,"1,597 cc",-,Van
Maserati GranTurismo 4.2A (COE till 11/2029),"$118,500","$19,950 /yr",23-Aug-2010,"4,244 cc","108,000 km",Sports
Toyota Sienta Hybrid 1.5A X,"$109,888","$15,200 /yr",03-Sep-2020,"1,496 cc","36,000 km",MPV
Mercedes-Benz C-Class C200 (COE till 09/2031),"$110,800","$14,260 /yr",13-Oct-2011,"1,796 cc",-,Luxury
Volkswagen Golf 1.4A TSI Comfortline,"$89,800","$14,620 /yr",12-Jun-2019,"1,395 cc","66,033 km",Hatchback
Toyota Harrier 2.0A Elegance,"$67,888","$18,760 /yr",25-Oct-2016,"1,986 cc","85,000 km",SUV
Volkswagen ID.3 Electric Life Pro Performance,"$146,868","$19,550 /yr",12-May-2021,-,"12,000 km",Hatchback
Toyota Hiace 2.8A DX,"$80,800","$14,260 /yr",23-Aug-2019,"2,754 cc",-,Van
BMW 5 Series 523i XL (COE till 07/2027),"$52,000","$14,770 /yr",02-Jul-2007,"2,497 cc","155,229 km",Luxury
Mercedes-Benz B-Class B180 Style,"$74,800","$16,910 /yr",06-Sep-2017,"1,595 cc","51,505 km",Hatchback
Toyota Prius Plus Hybrid 1.8A,"$96,800","$17,260 /yr",21-Nov-2018,"1,798 cc","89,000 km",MPV
MINI Cooper S Clubman 2.0A,"$108,800","$19,500 /yr",22-Jun-2018,"1,998 cc","128,000 km",Sports
Toyota Hiace 2.8A DX,"$93,800","$12,960 /yr",19-Mar-2021,"2,754 cc",-,Van
Toyota Corolla Altis 1.6A Elegance,"$64,800","$15,470 /yr",10-Jul-2017,"1,598 cc","145,000 km",Sedan
Mercedes-Benz GLB-Class GLB35 AMG 4MATIC 7-Seater,"$259,800","$27,650 /yr",29-Apr-2022,"1,991 cc","17,600 km",SUV
Mercedes-Benz GLC-Class GLC300 Mild Hybrid AMG Line 4MATIC,"$272,800","$27,880 /yr",30-Jun-2022,"1,991 cc","20,776 km",SUV
Audi A4 1.8A TFSI MU,"$43,688","$18,330 /yr",31-Aug-2015,"1,798 cc","101,970 km",Luxury
Nissan NV200 1.5M,"$19,800","$13,510 /yr",12-Jun-2015,"1,461 cc","122,424 km",Van
MINI One 1.2A 5DR,"$61,888","$15,690 /yr",29-Jun-2017,"1,198 cc",-,Hatchback
Mercedes-Benz GLC-Class GLC200,"$133,800","$23,630 /yr",20-Jul-2018,"1,991 cc","98,000 km",SUV
BMW X2 sDrive18i M-Sport X,"$198,800","$18,510 /yr",30-May-2023,"1,499 cc","7,299 km",SUV
Hyundai Avante 1.6A S,"$125,500","$15,090 /yr",17-Feb-2022,"1,598 cc","23,000 km",Sedan
Mazda 5 2.0A SP Sunroof,"$22,300","$16,680 /yr",28-Nov-2014,"1,998 cc","114,500 km",MPV
Maserati GranTurismo Cambiocorsa (COE till 10/2030),"$169,888","$24,980 /yr",11-Oct-2010,"4,691 cc","97,000 km",Sports
